source	written	edition	confidence	basis	attributed	note
ia-LaHeroojDeLaNovaTagiolaKronikoDeNabil.txt			none	no evidence		
ia-dlibra.kul.pl.49099.txt	1911		medium	intext		uncorroborated in-text year
ia-esperanto-the-international-language-a-complete-textbook-w-j-downes-1982.txt	1982	1982	high	filename		
ia-key_to_the_ekzercaro.txt			none	no evidence		
ia-poemo-de-utnoa-eo-1jun-2023.txt	2023	2023	medium	filename		disagrees with intext
ia-traduction_de_lekzercaro.txt			none	no evidence		
pg-11307.txt	1924		medium	intext	L. L. Zamenhof	uncorroborated in-text year
pg-11511.txt			none	no evidence	Adolf Krafft	
pg-16967.txt	1906		medium	intext	J. C. O'Connor	uncorroborated in-text year
pg-17425.txt	2000		medium	translator	Edwin Grobe	in-text year inside translator life (Edwin Grobe active 1943-2018)
pg-17482.txt	1910		medium	translator	Elfric Leofwin Kearney	in-text year inside translator life (Elfric Leofwin Kearney active 1887-1916)
pg-17665.txt	1998		medium	translator	Edwin Grobe	in-text year inside translator life (Edwin Grobe active 1943-2018)
pg-17945.txt	1999		medium	translator	Edwin Grobe	in-text year inside translator life (Edwin Grobe active 1943-2018)
pg-18178.txt	1908		medium	translator	Josef Grňa	in-text year inside translator life (Josef Grňa active 1896-1922)
pg-18326.txt	1998		medium	translator	Edwin Grobe	in-text year inside translator life (Edwin Grobe active 1943-2018)
pg-18836.txt	1999		medium	translator	Edwin Grobe	in-text year inside translator life (Edwin Grobe active 1943-2018)
pg-19030.txt	1998		medium	translator	Odd Tangerud	in-text year inside translator life (Odd Tangerud active 1935-2013)
pg-19182.txt			none	translator-window	Odd Tangerud	Odd Tangerud active 1935-2013; no in-text year inside it
pg-19183.txt			none	translator-window	Odd Tangerud	Odd Tangerud active 1935-2013; no in-text year inside it
pg-19293.txt	1998		medium	translator	Edwin Grobe	in-text year inside translator life (Edwin Grobe active 1943-2018)
pg-19803.txt			none	translator-window	Odd Tangerud	Odd Tangerud active 1935-2013; no in-text year inside it
pg-19858.txt	1997		medium	translator	Odd Tangerud	in-text year inside translator life (Odd Tangerud active 1935-2013)
pg-20006.txt	1888		medium	intext	L. L. Zamenhof	uncorroborated in-text year
pg-20162.txt			none	translator-window	Odd Tangerud	Odd Tangerud active 1935-2013; no in-text year inside it
pg-20178.txt	1997		medium	translator	Odd Tangerud	in-text year inside translator life (Odd Tangerud active 1935-2013)
pg-20802.txt			none	no evidence	Gary Mickle	
pg-20931.txt	2003		medium	translator	Edwin Grobe	in-text year inside translator life (Edwin Grobe active 1943-2018)
