slug	name	country	first	last	complete
a_semente	A Semente	Brazilo	2000	2001	no
aaiebulteno	Kvaronjara bulteno de AAIE	Usono	1968	1994	no
abc	ABC	Brazilo	1986	1994	no
abundana_frakcio_sat	Bulteno de Abundana Frakcio en SAT	Francio	1963	1973	no
adresaro_esperantistoj_kiuj_ellernis_la_lingvon	Adresaro de la personoj, kiuj ellernis la lingvon "Esperanto"	Pollando	1889	1908	no
adresaro_hef	Adresaro (HEF)	Hispanio	1957	1962	no
aeu_bulteno	AEU-Bulteno (Andaluzia)	Hispanio	1984	1987	no
afrika_esperantisto	Afrika Esperantisto	Togolando			no
afrikaj_kongresoj_de_esperanto_ake	Afrikaj Kongresoj de Esperanto (AKE)	Togolando			no
afrikarevuo_maroko	Afrika Revuo (Maroko)	Maroko	1947	1947	no
afrikume	Afrikume	Svislando	2006	2007	no
agadojihlava	Agado Jihlava	Ĉeĥio	1961		yes
akademio_laborista_esperanto	Oficiala Bulteno de La Akademio Laborista "Esperanto"	Hispanio	1933	1933	no
akke	Amsterdama Kunlabora Komitato Esperantista (AKKE)	Nederlando	1966	1988	no
aktivameriko	AktivAmeriko	Usono	1998	2003	no
aktualakomputiko	Aktuala Komputiko	Francio	1985	1985	no
aktualesejm	Aktuale SEJM	Rusio	1973		no
albanaesperantisto	Albana Esperantisto	Albanio	1991	1994	no
alvikara	Al Vi Kara	Japanio	1976	2003	no
americanesperantomagazine	The American Esperanto Magazine	Usono	1949	1967	no
amerikaesperantisto	L’ Amerika Esperantisto	Usono	1906	1931	no
amikarondo_silezia	Amika Rondo	Pollando	1988		no
amikeco_kolektantoj	Amikeco (Kolektanto-Klubo)	Germanio	1924	1926	no
amikeco_sovetia	Amikeco (Sovetia)	Estonio	1961	1984	no
amsterdama_pioniro	Amsterdama Pioniro	Nederlando	1907	1908	no
amsterdamakatedro	La Amsterdama Katedro	Nederlando	2009	2016	no
anarkio	Anarkio	Brazilo	2010	2012	no
andajondoj	Andaj Ondoj	Kolombio	1983	1996	no
anonca_bulteno	Anonca Bulteno	Germanio	1924	1925	no
antauen_camaguey	Antaŭen Camaguey	Kubo	1997	1997	no
antauen_paco_kaj_justeco	Antaŭen / Paco kaj Justeco	Belgio	1941	1947	no
antauenesperantistoj	Antauen Esperantistoj	Peruo	1903	1916	no
antauxenaviles	Antaŭen Grupo Avilés	Hispanio	1988	2008	no
anton_balague	Antón Balagué	Hispanio	1979	1992	no
arbetar_esperantisten	Arbetar Esperantisten	Svedio	1941	1954	no
argentinaesperantisto	Argentina Esperantisto	Argentino	1917	1943	no
argentinaevento	Argentina E-Vento	Argentino	1996	2008	no
arguso	Arguso	Meksiko	1921	1926	no
armenaesperantisto	Armena Esperantisto	Armenio	1958	1958	no
asistilo	Asistilo		1989	2000	no
asistilo_hejmoj	Asistilo. Hejmoj	Francio	1993	2001	no
astronomia_almanako	Astronomia Almanako	Israelo	2000	2002	no
ateismo	Ateismo	Usono	1988	2009	no
australiajesperantistoj	Aŭstraliaj Esperantistoj	Aŭstralio	2011		no
austria_esperanto_raporto	Aŭstria Esperanto Raporto	Aŭstrio	1922		no
