source	archive_id	series	periodical	year
ia-kontakto_2004_n199.txt	kontakto_2004_n199	kontakto	Kontakto	2004
ia-kontakto_2004_n200.txt	kontakto_2004_n200	kontakto	Kontakto	2004
ia-kontakto_2004_n201.txt	kontakto_2004_n201	kontakto	Kontakto	2004
ia-kontakto_2004_n202.txt	kontakto_2004_n202	kontakto	Kontakto	2004
ia-kontakto_2004_n203.txt	kontakto_2004_n203	kontakto	Kontakto	2004
ia-kontakto_2004_n204.txt	kontakto_2004_n204	kontakto	Kontakto	2004
ia-kontakto_2005_n205.txt	kontakto_2005_n205	kontakto	Kontakto	2005
ia-kontakto_2005_n206.txt	kontakto_2005_n206	kontakto	Kontakto	2005
ia-kontakto_2005_n207.txt	kontakto_2005_n207	kontakto	Kontakto	2005
ia-kontakto_2005_n208.txt	kontakto_2005_n208	kontakto	Kontakto	2005
ia-kontakto_2005_n209.txt	kontakto_2005_n209	kontakto	Kontakto	2005
ia-kontakto_2005_n210.txt	kontakto_2005_n210	kontakto	Kontakto	2005
ia-kontakto_2006_n211.txt	kontakto_2006_n211	kontakto	Kontakto	2006
ia-kontakto_2006_n212.txt	kontakto_2006_n212	kontakto	Kontakto	2006
ia-kontakto_2006_n213.txt	kontakto_2006_n213	kontakto	Kontakto	2006
ia-kontakto_2006_n214.txt	kontakto_2006_n214	kontakto	Kontakto	2006
ia-kontakto_2006_n215-216.txt	kontakto_2006_n215-216	kontakto	Kontakto	2006
ia-kontakto_2007_n217.txt	kontakto_2007_n217	kontakto	Kontakto	2007
ia-kontakto_2007_n218.txt	kontakto_2007_n218	kontakto	Kontakto	2007
ia-kontakto_2007_n219.txt	kontakto_2007_n219	kontakto	Kontakto	2007
ia-kontakto_2007_n220.txt	kontakto_2007_n220	kontakto	Kontakto	2007
ia-kontakto_2007_n221.txt	kontakto_2007_n221	kontakto	Kontakto	2007
ia-kontakto_2007_n222.txt	kontakto_2007_n222	kontakto	Kontakto	2007
ia-kontakto_2008_n223.txt	kontakto_2008_n223	kontakto	Kontakto	2008
ia-kontakto_2008_n224.txt	kontakto_2008_n224	kontakto	Kontakto	2008
ia-kontakto_2008_n225.txt	kontakto_2008_n225	kontakto	Kontakto	2008
ia-kontakto_2008_n226-227.txt	kontakto_2008_n226-227	kontakto	Kontakto	2008
ia-kontakto_2008_n228.txt	kontakto_2008_n228	kontakto	Kontakto	2008
ia-kontakto_2009_n229.txt	kontakto_2009_n229	kontakto	Kontakto	2009
ia-kontakto_2009_n230.txt	kontakto_2009_n230	kontakto	Kontakto	2009
ia-kontakto_2009_n231.txt	kontakto_2009_n231	kontakto	Kontakto	2009
ia-kontakto_2009_n232.txt	kontakto_2009_n232	kontakto	Kontakto	2009
ia-kontakto_2009_n233.txt	kontakto_2009_n233	kontakto	Kontakto	2009
ia-kontakto_2009_n234.txt	kontakto_2009_n234	kontakto	Kontakto	2009
ia-kontakto_2010_n235.txt	kontakto_2010_n235	kontakto	Kontakto	2010
ia-kontakto_2010_n236.txt	kontakto_2010_n236	kontakto	Kontakto	2010
ia-kontakto_2010_n237.txt	kontakto_2010_n237	kontakto	Kontakto	2010
ia-kontakto_2010_n238.txt	kontakto_2010_n238	kontakto	Kontakto	2010
ia-kontakto_2010_n239-240.txt	kontakto_2010_n239-240	kontakto	Kontakto	2010
ia-kontakto_2011_n241.txt	kontakto_2011_n241	kontakto	Kontakto	2011
ia-kontakto_2011_n242.txt	kontakto_2011_n242	kontakto	Kontakto	2011
ia-kontakto_2011_n243.txt	kontakto_2011_n243	kontakto	Kontakto	2011
ia-kontakto_2011_n244.txt	kontakto_2011_n244	kontakto	Kontakto	2011
ia-kontakto_2011_n245.txt	kontakto_2011_n245	kontakto	Kontakto	2011
ia-kontakto_2011_n246.txt	kontakto_2011_n246	kontakto	Kontakto	2011
