source	words	recognisable_pct	single_char_pct
ia-LaHeroojDeLaNovaTagiolaKronikoDeNabil.txt	240560	91.4	2.0
ia-dlibra.kul.pl.49099.txt	20251	74.0	5.6
ia-eowiki-Afriko-20200722.pdf.txt	4720	85.1	2.4
ia-eowiki-Agula_lingvo-20200728.pdf.txt	453	63.8	11.3
ia-eowiki-Araba_lingvo-20200723.pdf.txt	5266	79.0	7.3
ia-eowiki-Arumana_lingvo-20200726.pdf.txt	263	70.7	47.9
ia-eowiki-Azio-20200722.pdf.txt	4015	81.4	4.8
ia-eowiki-Balia_lingvo-20200727.pdf.txt	446	71.3	9.2
ia-eowiki-Bengala_lingvo-20200724.pdf.txt	1101	76.3	6.8
ia-eowiki-Evea_lingvo-20200727.pdf.txt	260	71.2	2.3
ia-eowiki-Filipina_lingvo-20200726.pdf.txt	315	85.4	1.9
ia-eowiki-Germana_lingvo-20200722.pdf.txt	4320	84.2	3.4
ia-eowiki-Hindustana_lingvo-20200725.pdf.txt	1269	62.1	15.6
ia-eowiki-Historio_de_la_mondo-20200721.pdf.txt	8169	79.9	9.0
ia-eowiki-Jakuta_lingvo-20200725.pdf.txt	1216	65.9	10.6
ia-eowiki-Jida_lingvo-20200724.pdf.txt	1714	79.9	13.9
ia-eowiki-Kefa_lingvo-20200725.pdf.txt	175	62.9	5.1
ia-eowiki-Kopta_lingvo-20200726.pdf.txt	4680	65.4	8.1
ia-eowiki-Kria_lingvo-20200727.pdf.txt	391	66.8	8.4
ia-eowiki-Krika_lingvo-20200728.pdf.txt	115	79.1	5.2
ia-eowiki-Latina_lingvo-20200723.pdf.txt	2361	88.4	6.4
ia-eowiki-Lingvo-20200721.pdf.txt	3048	62.1	7.6
ia-eowiki-Luba_lingvo-20200728.pdf.txt	222	65.3	8.1
ia-eowiki-Malnovaltgermana_lingvo-20200728.pdf.txt	461	82.6	2.6
ia-eowiki-Mezpersa_lingvo-20200728.pdf.txt	204	79.4	4.9
ia-eowiki-Nama_lingvo-20200728.pdf.txt	125	71.2	3.2
ia-eowiki-Naura_lingvo-20200727.pdf.txt	381	53.5	15.2
ia-eowiki-Navaha_lingvo-20200726.pdf.txt	290	84.1	2.8
ia-eowiki-Nejoj-20200726.pdf.txt	138	55.1	2.2
ia-eowiki-Nigrapieda_lingvo-20200728.pdf.txt	79	70.9	2.5
ia-eowiki-Odia_lingvo-20200725.pdf.txt	155	78.1	5.2
ia-eowiki-Okinava_lingvo-20200728.pdf.txt	87	87.4	3.4
ia-eowiki-Oroma_lingvo-20200727.pdf.txt	288	59.4	3.8
ia-eowiki-Palatinata_germana_dialektaro-20200728.pdf.txt	353	72.2	1.1
ia-eowiki-Parta_lingvo-20200728.pdf.txt	522	84.5	2.9
ia-eowiki-Pitjantjatjara_lingvo-20200725.pdf.txt	124	83.1	4.0
ia-eowiki-Rapanuia_lingvo-20200727.pdf.txt	359	72.1	5.0
ia-eowiki-Romanido-20200725.pdf.txt	889	88.0	5.2
ia-eowiki-Ruanda_lingvo-20200726.pdf.txt	258	71.7	2.7
ia-eowiki-Rusa_lingvo-20200723.pdf.txt	3344	80.7	5.4
ia-eowiki-Slovaka_lingvo-20200724.pdf.txt	637	84.5	11.3
ia-eowiki-Srana_lingvo-20200728.pdf.txt	299	64.9	4.3
ia-eowiki-Svahila_lingvo-20200724.pdf.txt	2476	83.2	1.8
ia-eowiki-Tata_lingvo-20200728.pdf.txt	154	68.2	3.2
ia-eowiki-Tibeta_lingvo-20200725.pdf.txt	458	46.9	5.5
ia-eowiki-Turka_lingvo-20200723.pdf.txt	2184	64.5	12.3
ia-eowiki-Veda_Sanskrito-20200728.pdf.txt	366	67.8	5.5
ia-eowiki-Vilamovica_lingvo-20200728.pdf.txt	1013	63.0	8.6
ia-eowiki-Voroa_lingvo-20200727.pdf.txt	579	83.8	2.9
ia-eowiki-Zazaa_lingvo-20200725.pdf.txt	230	67.4	2.2
ia-esperanto-the-international-language-a-complete-textbook-w-j-downes-1982.txt	49741	55.1	4.3
ia-key_to_the_ekzercaro.txt	7423	29.4	6.4
ia-poemo-de-utnoa-eo-1jun-2023.txt	54950	90.5	2.2
ia-traduction_de_lekzercaro.txt	7860	45.5	12.1
pg-11307.txt	10818	77.8	1.3
pg-11511.txt	24189	88.1	0.9
pg-16967.txt	37507	56.1	1.4
pg-17425.txt	9506	72.9	1.6
pg-17482.txt	28455	75.9	0.7
pg-17665.txt	10974	75.7	2.7
pg-17945.txt	12566	68.9	1.2
pg-18178.txt	38094	80.1	1.3
pg-18326.txt	14664	80.3	1.3
pg-18836.txt	13967	66.7	1.5
pg-19030.txt	25661	75.8	0.5
pg-19182.txt	26526	75.0	0.5
pg-19183.txt	26724	71.9	0.5
pg-19293.txt	13323	67.9	0.9
pg-19803.txt	29995	78.3	0.4
pg-19858.txt	24253	72.9	0.5
pg-20006.txt	19364	77.8	2.2
pg-20162.txt	31133	76.5	0.4
pg-20178.txt	24767	76.1	0.5
pg-20802.txt	47780	81.0	0.3
pg-20931.txt	13907	79.2	1.4
pg-20943.txt	13032	69.3	1.5
pg-21194.txt	15478	79.9	1.6
pg-21195.txt	11127	75.1	1.4
pg-21951.txt	8651	70.6	1.7
pg-22070.txt	38443	91.4	1.0
pg-22592.txt	19246	85.0	2.6
pg-22901.txt	12885	79.8	1.6
pg-23093.txt	19203	75.5	0.7
pg-23670.txt	24539	76.9	1.0
pg-23774.txt	34192	75.2	2.2
pg-23837.txt	19616	71.9	0.6
pg-24057.txt	5700	51.4	3.0
pg-24074.txt	18453	74.2	0.8
pg-24145.txt	26489	78.1	1.5
pg-24292.txt	23993	76.5	1.0
pg-24355.txt	24975	73.8	0.5
pg-24501.txt	31344	79.4	0.6
pg-24525.txt	13174	70.3	1.8
pg-24575.txt	7854	48.8	12.8
pg-24763.txt	19788	86.2	1.4
pg-25311.txt	11638	77.7	3.2
pg-25386.txt	13018	79.7	1.8
pg-25539.txt	20160	87.2	1.0
pg-25964.txt	15760	83.1	1.6
pg-26099.txt	12807	79.6	1.5
pg-26359.txt	27534	89.6	2.0
pg-26480.txt	37339	86.0	3.6
pg-26959.txt	8800	66.2	3.2
pg-27170.txt	14382	79.7	1.4
pg-27593.txt	12227	75.2	2.4
pg-27915.txt	11413	67.8	2.4
pg-28720.txt	12975	57.3	4.8
pg-28721.txt	13362	59.8	5.4
pg-28968.txt	32717	86.8	1.4
pg-28971.txt	5197	55.4	2.5
pg-29403.txt	14087	63.0	3.8
pg-30536.txt	29144	86.1	1.2
pg-30991.txt	15203	59.5	2.8
pg-30992.txt	15571	60.4	3.1
pg-31348.txt	37976	81.2	0.4
pg-32035.txt	39871	80.2	1.6
pg-32313.txt	14610	56.7	3.8
pg-32314.txt	15462	56.9	3.6
pg-32480.txt	33705	80.1	0.6
pg-34042.txt	14683	62.8	2.7
pg-34043.txt	15371	63.1	2.9
pg-35743.txt	16095	73.0	1.5
pg-35917.txt	22808	76.4	1.1
pg-35981.txt	8997	72.6	1.8
pg-37279.txt	33972	81.7	1.2
pg-37642.txt	15085	68.0	4.8
pg-37643.txt	15088	59.6	3.6
pg-37644.txt	14722	60.7	3.9
pg-37977.txt	15222	63.6	3.3
pg-37978.txt	14534	65.0	3.5
pg-39840.txt	15517	68.1	2.9
pg-39841.txt	14627	73.2	2.8
pg-39842.txt	14258	72.6	2.8
pg-42028.txt	27730	88.9	1.5
pg-42774.txt	6760	63.8	3.7
pg-44128.txt	15347	75.4	2.8
pg-44130.txt	15070	77.4	2.4
pg-44131.txt	14810	76.0	2.7
pg-44666.txt	15079	76.6	2.7
pg-44667.txt	14965	78.4	2.3
pg-44668.txt	14907	69.8	3.0
pg-45612.txt	18001	85.7	1.0
pg-45713.txt	36460	88.2	1.5
pg-47249.txt	20349	85.8	7.2
pg-47259.txt	44826	88.2	2.7
pg-47855.txt	20973	87.0	5.8
pg-47913.txt	19669	83.2	2.0
pg-48033.txt	27365	88.2	2.3
pg-48896.txt	6494	63.6	3.7
pg-48900.txt	14217	80.2	1.8
pg-49232.txt	15114	70.6	2.6
pg-49233.txt	14317	79.4	2.6
pg-49234.txt	13089	72.3	3.7
pg-51069.txt	66015	92.0	0.7
pg-51690.txt	15270	79.4	5.4
pg-52062.txt	14404	81.4	2.3
pg-52063.txt	15858	82.8	2.1
pg-52064.txt	21007	85.7	2.0
pg-52111.txt	16616	84.3	1.7
pg-52556.txt	14507	54.9	5.1
pg-52577.txt	28092	88.4	1.7
pg-52876.txt	11172	73.5	2.9
pg-55302.txt	105267	93.3	1.5
pg-55574.txt	32876	89.7	2.8
pg-55954.txt	84842	94.7	0.7
pg-56351.txt	6742	65.2	2.2
pg-57184.txt	71197	93.4	2.0
pg-60429.txt	22097	84.8	5.9
pg-61103.txt	24782	88.8	1.8
pg-61190.txt	8400	72.2	1.7
pg-61579.txt	10921	78.6	1.4
pg-61581.txt	6059	62.2	2.1
pg-61860.txt	78185	95.8	0.8
pg-62118.txt	21206	86.1	1.5
pg-62394.txt	12405	77.8	1.7
pg-62511.txt	22612	87.1	1.2
pg-63064.txt	13100	80.0	1.8
pg-63105.txt	18268	84.2	1.4
pg-63926.txt	24524	88.3	1.1
pg-64579.txt	146090	96.3	0.7
pg-65835.txt	66068	92.7	1.6
pg-65958.txt	44291	91.4	1.0
pg-66037.txt	21775	85.6	1.3
pg-68874.txt	18582	84.6	1.2
pg-68878.txt	36718	92.3	2.3
pg-68879.txt	22220	86.6	1.2
pg-69123.txt	46336	92.4	1.2
pg-71836.txt	17697	84.0	2.2
pg-74344.txt	8032	70.0	2.6
pg-74405.txt	16242	82.7	1.5
pg-75983.txt	8676	70.8	4.4
