translator	sources	qid	label	description	born	died	window_from	window_to	verdict	evidence
Odd Tangerud	13	Q12353371	Odd Tangerud	Norwegian Esperantist	1919	2010	1935	2013	verified	eo-sitelink+P1412=Q143+description
Edwin Grobe	10	Q12346822	Edwin Grobe	American translator, writer and Esperantist (1927-2015)	1927	2015	1943	2018	verified	eo-sitelink+P1412=Q143+description
L. L. Zamenhof	5	Q11758	L. L. Zamenhof	Polish-Jewish physician and inventor of Esperanto (1859-1917)	1859	1917	1887	1920	verified	eo-sitelink+P1412=Q143+description
Eugen Wüster	2	Q112859	Eugen Wüster	terminologist and industrialist (1898–1977)	1898	1977	1914	1980	verified	eo-sitelink+P1412=Q143
H. J. Bulthuis	2	Q3562233	Hendrik Bulthuis	Dutch writer, linguist, and Esperantist (1865-1945)	1865	1945	1887	1948	verified	eo-sitelink+P1412=Q143+description
Lehman Wendell	2	Q12351461	Lehman Wendell	American dentist	1878	1977	1894	1980	verified	eo-sitelink+P1412=Q143
A. Muller	1								unverified	Q75944:unverified Q57004957:unverified Q103481:unverified Q57548295:unverified Q97763423:unverified
Achille Motteau	1	Q12344607	Achille Motteau		1836	1906	1887	1909	verified	eo-sitelink+P1412=Q143
Adolf Krafft	1								unverified	Q12832730:unverified Q94834542:unverified
Albert Frank Milward	1	Q15731185	Albert Frank‏ Milward		1893	1945	1909	1948	verified	eo-sitelink+P1412=Q143
Alexander Pride	1								unverified	Q85935146:no-dates
Alexandra Mexin	1								unverified	Q15732079:no-dates
Andreo Fiŝer	1	Q15731156	Andreo Fiŝer		1855	1930	1887	1933	verified	eo-sitelink+P1412=Q143
Antoni Grabowski	1	Q11847	Antoni Grabowski	Polish chemical engineer (1857–1921)	1857	1921	1887	1924	verified	eo-sitelink+P1412=Q143
Benno Küster	1	Q12345611	Benno Küster	Esperantist	1861	1916	1887	1919	verified	eo-sitelink+P1412=Q143+description
Bronisław Kuhl	1	Q15731133	Bronislaw Kuhl		1886	1955	1902	1958	verified	eo-sitelink+P1412=Q143
Bénédict Papot	1								no-match	wbsearchentities found nothing
D. H. Lambert	1	Q12346370	Daniel Henry Lambert		1852	1930	1887	1933	verified	eo-sitelink+P1412=Q143
Donald Broadribb	1	Q12346603	Donald Broadribb	Australian Esperantist	1933	2012	1949	2015	verified	eo-sitelink+P1412=Q143+description
E. Neumark	1								unverified	Q131561381:unverified
E. W. Weems	1								no-match	wbsearchentities found nothing
Elfric Leofwin Kearney	1	Q84135223	Elfric Leofwin Kearney		1856	1913	1887	1916	verified	eo-sitelink+P1412=Q143
Eugène Noël	1	Q4172857	Eugène Noël	French Esperantist	1855	1921	1887	1924	verified	eo-sitelink+P1412=Q143+description
Frederik Skeel-Giørling	1	Q12348021	Frederik Skeel-Giørling	Danish writer	1876	1910	1892	1913	verified	eo-sitelink+P1412=Q143
Fritz Wicke	1	Q102228361	Fritz Wicke	Dr. phil. Friedrich-Schiller-Universität Jena 1905	1881	1940	1897	1943	verified	eo-sitelink+P1412=Q143
G. Vaillant	1								no-match	wbsearchentities found nothing
Gary Mickle	1								unverified	Q5525588:unverified
Gaston Moch	1	Q365609	Gaston Moch	French Esperantist and artillery officer (1859–1935)	1859	1935	1887	1938	verified	eo-sitelink+P1412=Q143+description
Hendrik Coenraad Mees	1	Q12348796	Hendrik Coenraad Mees	Dutch Esperantist	1865	1939	1887	1942	verified	eo-sitelink+P1412=Q143+description
Herbert Harris	1								unverified	Q1608402:unverified Q108050123:unverified Q99589416:unverified Q76028390:unverified Q3133457:unverified
Hilma Hall	1	Q12348891	Hilma Hall	Finnish translator	1854	1922	1887	1925	verified	eo-sitelink+P1412=Q143
Ivan H. Krestanoff	1								no-match	wbsearchentities found nothing
Ivy Kellerman Reed	1	Q6099875	Ivy Kellerman Reed	American author in the international language Esperanto	1877	1968	1893	1971	verified	eo-sitelink+P1412=Q143+description
J. W. Eggleton	1								no-match	wbsearchentities found nothing
Josef Grňa	1	Q17308711	Josef Grňa	Czech Esperantist and teacher (1880-1919)	1880	1919	1896	1922	verified	eo-sitelink+P1412=Q143+description
Joseph Evrot	1	Q12349964	Joseph Evrot		1859	1920	1887	1923	verified	eo-sitelink+P1412=Q143
Leon Zamenhof	1	Q3889710	Leon Zamenhof	Polish physiologist and Esperantist (1875-1934)	1875	1934	1891	1937	verified	eo-sitelink+P1412=Q143+description
Maria Posenaer	1	Q12352321	Maria Elworthy-Posenaer	Esperantist (1874-1956)	1874	1956	1890	1959	verified	eo-sitelink+P1412=Q143+description
Maria Ŝidlovskaja	1	Q20481871	Maria Ŝidlovskaja	Russian Esperantist	1866	1930	1887	1933	verified	eo-sitelink+P1412=Q143+description
Nikolao Hohlov	1	Q1968214	Nikolay Khokhlov	Russian Esperantist, writer and economist (1891–1953)	1891	1953	1907	1956	verified	eo-sitelink+P1412=Q143+description
Paul Benoit	1								unverified	Q1236540:unverified Q131467316:unverified Q3370615:unverified Q105482153:unverified Q3370612:not-human
René de Saussure	1	Q13237	René de Saussure	Swiss mathematician and Esperantist (1868-1943)	1868	1943	1887	1946	verified	eo-sitelink+P1412=Q143+description
Samuel Meyer	1	Q12354852	Samuel Meyer	French Esperantist (1864-1921)	1864	1921	1887	1924	verified	eo-sitelink+P1412=Q143+description
Tojosato Tooguu	1	Q15732119	Tooguu Tojosato	Japanese Esperantist	1894	1927	1910	1930	verified	eo-sitelink+P1412=Q143+description
Venancio Da Silva	1								unverified	Q7920679:unverified Q61879719:unverified
Vilho Setälä	1	Q3893579	Vilho Setälä	Finnish photographer, journalist, scientist, writer and Esperantist (1892–1985)	1892	1985	1908	1988	verified	eo-sitelink+P1412=Q143+description
William W. Mann	1	Q118100164	William W. Mann	British Esperantist	1881	1972	1897	1975	verified	eo-sitelink+description
Wouter F. Pilger	1	Q12356804	Wouter Pilger		1942	2006	1958	2009	verified	eo-sitelink+P1412=Q143
